CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1      70         70          0          0        634          0
    DC2      79         72          0          0        634          0
    1      16         39         20         81        111         10        2
    2      87         108         20         58         88         10        3
    3      18         104         18        337        367         10        3
    4      99         28         30         82        112         10        1
    5      90         101         10        155        185         10        3
    6      90         44          6         52         82         10        2
    7      94        104         10        128        158         10        1
    8      58         95         35        485        515         10        3
    9      88         29         33        550        580         10        3
   10      86        102         10         35         65         10        1
   11      21         48         10         53         83         10        3
   12      121        112         20         74        104         10        2
   13      87         39         20         35         65         10        3
   14      137        137         27        100        130         10        1
   15      70         94         32         24         54         10        2
   16       8         87         17        401        431         10        3
   17      80        103         15        372        402         10        1
   18      102         60         30        135        165         10        3
   19      57         53         10         94        124         10        2
   20      28         99         10         51         81         10        2
   21      83         12         29        230        260         10        1
   22      36         54         15        372        402         10        3
   23      95         35         10         49         79         10        3
   24      31        112          0        106        136          0        2
   25     123        112         20         97        127         10        3
   26     121        110         30        161        191         10        1
   27      36         38          5        438        468         10        3
   28     113         45          4        299        329         10        3
   29      59         52         20         82        112         10        2
   30      20         39         10        149        179         10        2
   31      37        138          5        210        240         10        3
   32      64         61         20        149        179         10        2
   33      93         36         20         41         71         10        3
   34      48         47         19         31         61         10        1
   35     119        139         20         91        121         10        3
   36      47         83          1        318        348         10        2
   37      86         37         10         90        120         10        2
   38      22         38         20        161        191         10        3
   39     133        130         13        222        252         10        2
   40     140         36          1        176        206         10        3
