CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1      70         70          0          0       1351          0
    DC2      10        137         0          0       1351          0
    1       1        109         10        616        680         90        3
    2      95         35         10        196        252         90        3
    3      57         59         10        824        890         90        2
    4     115        134         30        140        199         90        3
    5      90        104         20        845        910         90        3
    6      18         38         30        582        638         90        1
    7      32        106         10        602        657         90        3
    8     121        110         30        870        923         90        3
    9      99         28         30        392        442         90        2
   10     118        131         20        782        857         90        3
   11      26        105         40        115        179         90        3
   12       1         34         20         77        132         90        1
   13     135          3         20        250        300         90        3
   14      30         79         20        561        632         90        3
   15     131         31         20        604        657         90        1
   16     48         47         19         31         41         10        3
   17      61         57         35        385        395         10        3
   18     102         52         15        169        179         10        3
   19      22        104         11        241        251         10        2
   20     107         25         13        284        294         10        3
   21      64        132          8         67         77         10        3
   22      82        100         18        114        124         10        3
   23      92        138         12        412        422         10        1
   24      60         84         23        492        502         10        3
   25     139         68         25         88         98         10        2
   26      54         41          9        291        301         10        3
   27     112         13         27        535        545         10        1
   28     140         36          1        186        196         10        3
   29      64         61         20        149        179         10        3
   30      64        132          8         62         92         10        2
   31      122        131         20        140        170         10        3
   32       0         27         30         91        121         10        3
   33     104         54         13         53         83         10        3
   34      47         83          1        318        348         10        1
   35      97         28         20         49         79         10        3
   36     103         34         30        111        141         10        3
   37     118        131         20        164        194         10        2
   38     103         86         19        258        288         10        3
   39      26        105         40         56         86         10        1
   40      60         23         16         54         84         10        3
